Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Shoe size (product.metafields.shopify.shoe-size),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-party-pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/165_ThePartyPouch_DiamondSparkle_45Degree.jpg?v=1732685002,4,"",,,,,,,,,,
the-party-pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/165_ThePartyPouch_DiamondSparkle_Front0856.jpg?v=1732685002,5,"",,,,,,,,,,
the-mini-handbag,The Mini Handbag,<p>The Mini Handbag represents the culmination of dimensional optimization in portable accessory design. Engineered with a precisely calibrated form factor that maximizes internal capacity while maintaining a compact external profile. The specialized structural framework incorporates strategic reinforcement at critical stress points to ensure exceptional durability despite its reduced scale. The proprietary material selection delivers superior resilience with minimal mass contribution. The anatomically considered handle geometry distributes carrying forces optimally to prevent localized strain. The interior architecture features a meticulously calculated compartmentalization system that enhances organizational efficiency within constrained spatial parameters. Designed for discerning individuals who require technical excellence in minimalist accessories without compromising functional utility.</p>,mitulpcirkle,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Clutch Bags","",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,7999.00,9999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/032_PianoKeys_pdp_E.jpg?v=1732684948,1,"",false,,,,,,kg,,,active
the-mini-handbag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/032_PianoKeys_pdp_I.jpg?v=1732684948,2,"",,,,,,,,,,
the-mini-handbag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/032_PianoKeys_pdp_A.jpg?v=1732684948,3,"",,,,,,,,,,
the-mini-handbag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/032_PianoKeys_pdp_B.jpg?v=1732684948,4,"",,,,,,,,,,
the-mini-crescent-bag,The Mini Crescent Bag,<p>The Mini Crescent Bag exemplifies precision engineering in compact carry solutions. Featuring a meticulously calculated curved silhouette that optimizes internal volume while maintaining a minimal footprint. The specialized structural architecture incorporates strategic reinforcement at high-stress junctures to ensure exceptional durability despite its reduced dimensions. The proprietary material composition delivers superior tensile strength with optimal weight distribution characteristics. The anatomically considered strap design incorporates biomechanical principles to enhance comfort during extended wear. The interior compartmentalization system maximizes organizational efficiency within the constrained spatial parameters. Designed for discerning individuals who require technical excellence in minimalist accessories without compromising functional utility or aesthetic refinement.</p>,mitulpcirkle,"Apparel & Accessories > Handbags, Wallets & Cases","",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,5999.00,8999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/236_MiniCrescentBag_Black_Overhead_6985.jpg?v=1732684874,1,"",false,,,,,,kg,,,active
the-mini-crescent-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/236_MiniCrescentBag_Black_RemovableStrap_7113.jpg?v=1732684873,2,"",,,,,,,,,,
the-mini-crescent-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/236_MiniCrescentBag_Black_45Degree_4463.jpg?v=1732684873,3,"",,,,,,,,,,
the-mini-crescent-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/236_MiniCrescentBag_Black_Front_4408.jpg?v=1732684874,4,"",,,,,,,,,,
the-lightweight-zip-tote,The Lightweight Zip Tote,"<p>The Lightweight Zip Tote represents advanced engineering in secure portable storage solutions. Featuring a proprietary weight-optimization system that reduces mass while maintaining exceptional structural integrity. The precision-engineered zipper mechanism incorporates specialized tooth geometry for smooth operation with minimal resistance, while providing comprehensive containment security. Strategic reinforcement at high-stress junctures ensures durability without compromising the ultralight profile. The specialized material composition delivers superior tensile strength with optimal abrasion resistance. The anatomically considered handle design distributes load forces evenly across contact points to minimize fatigue during extended carrying. Designed for discerning individuals requiring technical excellence in lightweight, secure transportation solutions.</p>",mitulpcirkle,Luggage & Bags > Tote Bags,"",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,3999.00,5999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/224_LightweightZipTote_DarkAubergine_TopZipper_0881.jpg?v=1732684826,1,"",false,,,,,,kg,,,active
the-lightweight-zip-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/224_LightweightZipTote_DarkAubergine_45Degree_0771.jpg?v=1732684826,2,"",,,,,,,,,,
the-lightweight-zip-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/224_LightweightZipTote_DarkAubergine_Front_0843.jpg?v=1732684826,3,"",,,,,,,,,,
the-lightweight-zip-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/224_LightweightZipTote_DarkAubergine_Overhead_0686.jpg?v=1732684826,4,"",,,,,,,,,,
the-lightweight-tote,The Lightweight Tote,<p>The Lightweight Tote represents the pinnacle of material engineering in portable storage solutions. Constructed using advanced weight-reduction techniques that maintain exceptional structural integrity while minimizing mass. The proprietary fabric composition delivers superior tensile strength with an optimized strength-to-weight ratio. Strategic reinforcement zones provide targeted durability at high-stress junctures without compromising the overall lightweight profile. The precision-calibrated handle system distributes load forces evenly to prevent localized strain during extended carrying. The specialized interior architecture maximizes volumetric efficiency while maintaining accessibility. Designed for discerning individuals who require technical excellence in ultralight carry solutions without sacrificing functional capacity or aesthetic refinement.</p>,mitulpcirkle,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Shopper Bags","",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,4999.00,7999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/086_LightweightTote_CheckerBlue_Keys_0713.jpg?v=1732684776,1,"",false,,,,,,kg,,,active
the-lightweight-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/086_LightweightTote_CheckerBlue_Overhead_0628.jpg?v=1732684776,2,"",,,,,,,,,,
the-lightweight-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/086_LightweightTote_CheckerBlue_45Degree_0409.jpg?v=1732684776,3,"",,,,,,,,,,
the-lightweight-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/086_LightweightTote_CheckerBlue_Front_0357.jpg?v=1732684776,4,"",,,,,,,,,,
the-lightweight-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/086_LightweightTote_CheckerBlue_Front_Strap_0742.jpg?v=1732684776,5,"",,,,,,,,,,
the-classic-tote,The Classic Tote,"<p>The Classic Tote exemplifies advanced load-bearing architecture in everyday carry solutions. Engineered with a precision-calibrated structural framework that maintains dimensional integrity even under asymmetrical weight distribution. The specialized material composition delivers exceptional tensile strength while minimizing overall mass. Strategic reinforcement at critical stress points ensures prolonged structural stability, while the anatomically optimized handle design incorporates ergonomic principles to reduce pressure points during extended carrying. The interior spatial organization features a calculated ratio of compartmentalization to open volume, maximizing functional versatility. Designed for discerning individuals who require technical excellence in a refined silhouette suitable for diverse carrying requirements.</p>",mitulpcirkle,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Shopper Bags","",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,5999.00,8999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/162_ClassicTote_SoftSesame_TopZipper_80d62591-1177-445c-89ff-ef85d2c4c3c4.jpg?v=1732684742,1,"",false,,,,,,kg,,,active
the-classic-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/162_ClassicTote_SoftSesame_ZipPocketDetail_V1_c8933619-6e88-4ece-92f5-b3ad0ce84ea8.jpg?v=1732684742,2,"",,,,,,,,,,
the-classic-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/162_ClassicTote_SoftSesame_45_Degree_30087411-9d96-4fcc-99f9-eb10454c426c.jpg?v=1732684742,3,"",,,,,,,,,,
the-classic-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/162_ClassicTote_SoftSesame_B_OnFigure_0067_94c1a3b7-7a53-4cd3-bb2c-6c76bad7412d.jpg?v=1732684742,4,"",,,,,,,,,,
the-classic-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/162_ClassicTote_SoftSesame_Bottom_26fb5a57-d91d-45bf-8aee-bcc7a564857d.jpg?v=1732684742,5,"",,,,,,,,,,
the-classic-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/162_ClassicTote_SoftSesame_Front5291_646eb488-891a-4c94-80fb-bedae9115af2.jpg?v=1732684742,6,"",,,,,,,,,,
the-classic-handbag,The Classic Handbag,"<p>The Classic Handbag represents the culmination of precision engineering in functional accessory design. Featuring a meticulously calibrated structure that maintains dimensional stability while accommodating variable load requirements. The proprietary material composition delivers exceptional tensile strength with optimal weight-to-durability ratio. Strategic reinforcement at high-stress junctures ensures structural longevity, while the anatomically considered handle design distributes weight optimally to minimize fatigue during extended carrying. The interior architecture incorporates specialized compartmentalization for efficient organization while maintaining accessibility. Designed for the discerning individual who requires technical excellence in a refined silhouette that transcends seasonal trends.</p>",mitulpcirkle,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags","",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,5999.00,7999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/235_ClassicHandbag_Black_Front_2523.jpg?v=1732684700,1,"",false,,,,,,kg,,,active
the-classic-handbag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/235_ClassicHandbag_Black_Macro_3784.jpg?v=1732684700,2,"",,,,,,,,,,
the-classic-handbag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/235_ClassicHandbag_Black_45_Degree_2435.jpg?v=1732684700,3,"",,,,,,,,,,
the-classic-handbag,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/235_ClassicHandbag_Black_Bottom_345.jpg?v=1732684700,4,"",,,,,,,,,,
the-casual-crossbody,The Casual Crossbody,"<p>The Casual Crossbody represents the pinnacle of functional design engineering in everyday carry solutions. Constructed with precision-calibrated weight distribution to minimize shoulder strain during extended wear. The meticulously designed compartmentalization system provides optimal organization while maintaining a streamlined profile. Strategic reinforcement at high-stress junctures ensures exceptional durability, while the anatomically contoured strap incorporates specialized tensile properties for comfort during dynamic movement. The proprietary closure mechanism offers secure access with minimal operational resistance. Designed for discerning individuals who demand technical excellence in their everyday accessories without compromising aesthetic refinement.</p>",mitulpcirkle,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,3999.00,6999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/142_CasualCrossbody_Black_IvoryStripe_45_Degree.jpg?v=1732684620,1,"",false,,,,,,kg,,,active
the-casual-crossbody,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/142_CasualCrossbody_Black_IvoryStripe_Front.jpg?v=1732684620,2,"",,,,,,,,,,
the-casual-crossbody,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/142_CasualCrossbody_Black_IvoryStripe_Overhead.jpg?v=1732684619,3,"",,,,,,,,,,
the-casual-crossbody,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/142_CasualCrossbody_Black_IvoryStripe_Strap.jpg?v=1732684619,4,"",,,,,,,,,,
steve-brown-soft-tumb-leather,Steve Brown Soft Tumb Leather,"<p>The Steve Brown Soft Tumb Leather represents exceptional material engineering in premium footwear. Crafted from specially selected hides that undergo a proprietary tumbling process to enhance the leather's natural suppleness while maintaining structural integrity. This sophisticated technique creates a distinctive hand-feel with optimal flexibility from first wear. The rich brown patina is achieved through a multi-stage dyeing process that penetrates deeply into the leather's fiber structure. The anatomically correct last ensures biomechanical efficiency, while the precision-calibrated midsole provides targeted support zones. Designed for discerning individuals who appreciate technical excellence in comfort-oriented leather footwear.</p>",mitulpcirkle,Apparel & Accessories > Shoes > Flats,"","Men, shoes",true,Title,Default Title,,,,,,,,'61,0.0,shopify,100,deny,manual,14999.00,19999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1344036001_04.jpg?v=1731673848,1,"",false,,,,,,kg,,,active
steve-brown-soft-tumb-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1344036001_08.jpg?v=1731673848,2,"",,,,,,,,,,
steve-brown-soft-tumb-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1344036001_01.jpg?v=1731673848,3,"",,,,,,,,,,
steve-brown-soft-tumb-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1344036001_02.jpg?v=1731673848,4,"",,,,,,,,,,
steve-brown-soft-tumb-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1344036001_03.jpg?v=1731673848,5,"",,,,,,,,,,
spiro-tan-leather,Spiro Tan Leather,"<p>The Spiro Tan Leather represents the convergence of traditional craftsmanship and advanced material science. Constructed from premium full-grain leather that undergoes a proprietary tanning process to enhance its natural characteristics while optimizing tensile strength. The distinctive tan patina is achieved through a specialized vegetable-based treatment that allows for natural color evolution with wear. The anatomically engineered footbed incorporates targeted support zones that enhance biomechanical efficiency, while the precision-stitched construction ensures exceptional structural integrity. The specialized leather finishing process maintains optimal breathability while providing natural moisture management properties. Designed for connoisseurs who appreciate technical excellence in heritage footwear design.</p>",mitulpcirkle,Apparel & Accessories > Shoes > Flats,"","Men, shoes",true,Title,Default Title,,,,,,,,'60,0.0,shopify,100,deny,manual,15999.00,19999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1374147001_05.jpg?v=1731673815,1,"",false,,,,,,kg,,,active
spiro-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1374147001_09.jpg?v=1731673815,2,"",,,,,,,,,,
spiro-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1374147001_01.jpg?v=1731673815,3,"",,,,,,,,,,
spiro-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1374147001_02.jpg?v=1731673815,4,"",,,,,,,,,,
spiro-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1374147001_03.jpg?v=1731673815,5,"",,,,,,,,,,
spiro-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1374147001_04.jpg?v=1731673815,6,"",,,,,,,,,,
rath-black-calf-leather,Rath Black Calf Leather,"<p>The Rath Black Calf Leather exemplifies superior craftsmanship through meticulous material selection and technical construction. Featuring premium calfskin leather chosen for its exceptional fiber structure and natural elasticity, this sophisticated footwear undergoes a specialized tanning process that enhances durability while maintaining breathability. The deep black finish is achieved through precision dyeing techniques that ensure color consistency throughout the leather's cross-section. The anatomically engineered last provides biomechanical efficiency, while the hand-finished details demonstrate exceptional attention to structural integrity. Designed for the discerning individual who demands technical excellence in formal footwear.</p>",mitulpcirkle,Apparel & Accessories > Shoes > Flats,"","Men, shoes",true,Title,Default Title,,,,,,,,'59,0.0,shopify,100,deny,manual,13999.00,19999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1354726001_04.jpg?v=1731673786,1,"",false,,,,,,kg,,,active
rath-black-calf-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1354726001_05.jpg?v=1731673786,2,"",,,,,,,,,,
rath-black-calf-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1354726001_06.jpg?v=1731673786,3,"",,,,,,,,,,
rath-black-calf-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1354726001_01.jpg?v=1731673786,4,"",,,,,,,,,,
rath-black-calf-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1354726001_02.jpg?v=1731673786,5,"",,,,,,,,,,
rath-black-calf-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1354726001_03.jpg?v=1731673786,6,"",,,,,,,,,,
motion-trek-ez-dark-tan-leather,Motion Trek Ez Dark Tan Leather,<p>The Motion Trek Ez Dark Tan Leather represents advanced biomechanical engineering in performance walking footwear. Crafted from premium full-grain leather that's been precisely treated to maintain optimal breathability while enhancing durability. The proprietary Ez fit system incorporates anatomically positioned expansion zones that accommodate natural foot swelling during extended wear. The dark tan finish is achieved through a specialized vegetable tanning process that preserves the leather's natural characteristics. The precision-calibrated midsole features progressive density mapping to optimize energy return and impact attenuation across varied terrain. Designed for discerning individuals requiring technical excellence in long-distance walking footwear.</p>,mitulpcirkle,Apparel & Accessories > Shoes > Sneakers,"","Men, shoes",true,Title,Default Title,,,,,,,,'58,0.0,shopify,100,deny,manual,15999.00,19999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1373761001_04.jpg?v=1731673755,1,"",false,,,,,,kg,,,active
motion-trek-ez-dark-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1373761001_05.jpg?v=1731673755,2,"",,,,,,,,,,
motion-trek-ez-dark-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1373761001_06.jpg?v=1731673755,3,"",,,,,,,,,,
motion-trek-ez-dark-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1373761001_01.jpg?v=1731673755,4,"",,,,,,,,,,
motion-trek-ez-dark-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1373761001_02.jpg?v=1731673755,5,"",,,,,,,,,,
motion-trek-ez-dark-tan-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1373761001_03.jpg?v=1731673755,6,"",,,,,,,,,,
matthew-jp13331-black-oil-calf-lea,Matthew Jp13331 Black Oil Calf Lea,"<p>The Matthew Jp13331 Black Oil Calf Lea represents the pinnacle of artisanal footwear craftsmanship. Constructed from premium oil-treated calfskin leather, this distinguished shoe undergoes a specialized tanning process that enhances its natural hydrophobic properties while maintaining exceptional breathability. The proprietary oil-infusion technique creates a distinctive depth of color and subtle luster that evolves uniquely with wear. The anatomically engineered last ensures biomechanical efficiency, while the hand-finished details exemplify meticulous attention to construction integrity. Designed for the connoisseur who appreciates technical excellence in traditional footwear manufacturing.</p>",mitulpcirkle,Apparel & Accessories > Shoes > Flats,"","Men, shoes",true,Title,Default Title,,,,,,,,'57,0.0,shopify,100,deny,manual,12999.00,17999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1319756001_04.jpg?v=1731673722,1,"",false,,,,,,kg,,,active
matthew-jp13331-black-oil-calf-lea,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1319756001_01.jpg?v=1731673722,2,"",,,,,,,,,,
matthew-jp13331-black-oil-calf-lea,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1319756001_05.jpg?v=1731673722,3,"",,,,,,,,,,
matthew-jp13331-black-oil-calf-lea,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1319756001_02.jpg?v=1731673722,4,"",,,,,,,,,,
matthew-jp13331-black-oil-calf-lea,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/1319756001_03.jpg?v=1731673722,5,"",,,,,,,,,,
